층,블록,열,넘버,전체_좌석,X,Y,Z,대칭점
2층,D블록,2,10,2층 D블록2열 10,-889,2377,675,2층 B블록2열 1
2층,E블록,2,1,2층 E블록2열 1,-1049,2296,675,2층 A블록2열 18
2층,E블록,2,2,2층 E블록2열 2,-1086,2257,675,2층 A블록2열 17
2층,E블록,2,3,2층 E블록2열 3,-1122,2219,675,2층 A블록2열 16
2층,E블록,2,4,2층 E블록2열 4,-1159,2180,675,2층 A블록2열 15
2층,E블록,2,5,2층 E블록2열 5,-1196,2141,675,2층 A블록2열 14
2층,E블록,2,6,2층 E블록2열 6,-1232,2103,675,2층 A블록2열 13
2층,E블록,2,7,2층 E블록2열 7,-1269,2064,675,2층 A블록2열 12
2층,E블록,2,8,2층 E블록2열 8,-1306,2025,675,2층 A블록2열 11
2층,E블록,2,9,2층 E블록2열 9,-1342,1987,675,2층 A블록2열 10
2층,E블록,2,10,2층 E블록2열 10,-1379,1948,675,2층 A블록2열 9
2층,E블록,2,11,2층 E블록2열 11,-1416,1909,675,2층 A블록2열 8
2층,E블록,2,12,2층 E블록2열 12,-1452,1870,675,2층 A블록2열 7
2층,E블록,2,13,2층 E블록2열 13,-1489,1832,675,2층 A블록2열 6
2층,E블록,2,14,2층 E블록2열 14,-1525,1793,675,2층 A블록2열 5
2층,E블록,2,15,2층 E블록2열 15,-1562,1754,675,2층 A블록2열 4
2층,E블록,2,16,2층 E블록2열 16,-1599,1716,675,2층 A블록2열 3
2층,E블록,2,17,2층 E블록2열 17,-1635,1677,675,2층 A블록2열 2
2층,E블록,2,18,2층 E블록2열 18,-1672,1638,675,2층 A블록2열 1
2층,A블록,3,1,2층 A블록3열 1,1747,1705,717,2층 E블록3열 18
2층,A블록,3,2,2층 A블록3열 2,1709,1745,717,2층 E블록3열 17
2층,A블록,3,3,2층 A블록3열 3,1671,1785,717,2층 E블록3열 16
2층,A블록,3,4,2층 A블록3열 4,1633,1825,717,2층 E블록3열 15
2층,A블록,3,5,2층 A블록3열 5,1594,1866,717,2층 E블록3열 14
2층,A블록,3,6,2층 A블록3열 6,1556,1906,717,2층 E블록3열 13
2층,A블록,3,7,2층 A블록3열 7,1518,1946,717,2층 E블록3열 12
2층,A블록,3,8,2층 A블록3열 8,1480,1987,717,2층 E블록3열 11
2층,A블록,3,9,2층 A블록3열 9,1442,2027,717,2층 E블록3열 10
2층,A블록,3,10,2층 A블록3열 10,1404,2067,717,2층 E블록3열 9
2층,A블록,3,11,2층 A블록3열 11,1365,2107,717,2층 E블록3열 8
2층,A블록,3,12,2층 A블록3열 12,1327,2148,717,2층 E블록3열 7
2층,A블록,3,13,2층 A블록3열 13,1289,2188,717,2층 E블록3열 6
2층,A블록,3,14,2층 A블록3열 14,1251,2228,717,2층 E블록3열 5
2층,A블록,3,15,2층 A블록3열 15,1213,2269,717,2층 E블록3열 4
2층,A블록,3,16,2층 A블록3열 16,1175,2309,717,2층 E블록3열 3
2층,A블록,3,17,2층 A블록3열 17,1136,2349,717,2층 E블록3열 2
2층,A블록,3,18,2층 A블록3열 18,1098,2390,717,2층 E블록3열 1
2층,B블록,3,1,2층 B블록3열 1,938,2473,717,2층 D블록3열 11
2층,B블록,3,2,2층 B블록3열 2,885,2478,717,2층 D블록3열 10
2층,B블록,3,3,2층 B블록3열 3,832,2483,717,2층 D블록3열 9
2층,B블록,3,4,2층 B블록3열 4,780,2488,717,2층 D블록3열 8
2층,B블록,3,5,2층 B블록3열 5,727,2493,717,2층 D블록3열 7
2층,B블록,3,6,2층 B블록3열 6,674,2498,717,2층 D블록3열 6
2층,B블록,3,7,2층 B블록3열 7,621,2502,717,2층 D블록3열 5
2층,B블록,5,1,2층 B블록5열 1,1031,2665,802,2층 D블록5열 12
2층,B블록,5,2,2층 B블록5열 2,975,2671,802,2층 D블록5열 11
2층,B블록,3,10,2층 B블록3열 10,462,2512,717,2층 D블록3열 2
2층,B블록,3,11,2층 B블록3열 11,409,2515,717,2층 D블록3열 1
2층,C블록,3,1,2층 C블록3열 1,255,2520,717,2층 C블록3열 11
2층,C블록,3,2,2층 C블록3열 2,204,2522,717,2층 C블록3열 10
2층,C블록,3,3,2층 C블록3열 3,153,2522,717,2층 C블록3열 9
2층,C블록,3,4,2층 C블록3열 4,102,2523,717,2층 C블록3열 8
2층,C블록,3,5,2층 C블록3열 5,51,2524,717,2층 C블록3열 7
2층,C블록,3,6,2층 C블록3열 6,0,2525,717,2층 C블록3열 6
2층,C블록,3,7,2층 C블록3열 7,-51,2524,717,2층 C블록3열 5
2층,C블록,3,8,2층 C블록3열 8,-102,2523,717,2층 C블록3열 4
2층,C블록,3,9,2층 C블록3열 9,-153,2522,717,2층 C블록3열 3
2층,C블록,3,10,2층 C블록3열 10,-204,2522,717,2층 C블록3열 2
2층,C블록,3,11,2층 C블록3열 11,-255,2520,717,2층 C블록3열 1
2층,D블록,3,1,2층 D블록3열 1,-409,2515,717,2층 B블록3열 11
2층,D블록,3,2,2층 D블록3열 2,-462,2512,717,2층 B블록3열 10
2층,D블록,3,3,2층 D블록3열 3,-515,2509,717,2층 B블록3열 9
2층,D블록,3,4,2층 D블록3열 4,-568,2506,717,2층 B블록3열 8
2층,D블록,3,5,2층 D블록3열 5,-621,2502,717,2층 B블록3열 7
2층,D블록,3,6,2층 D블록3열 6,-674,2498,717,2층 B블록3열 6
2층,D블록,3,7,2층 D블록3열 7,-727,2493,717,2층 B블록3열 5
2층,A블록,6,1,2층 A블록6열 1,1843,2040,845,2층 E블록6열 19
2층,A블록,6,2,2층 A블록6열 2,1809,2075,845,2층 E블록6열 18
2층,D블록,3,10,2층 D블록3열 10,-885,2478,717,2층 B블록3열 2
