층,블록,열,넘버,전체_좌석,X,Y,Z,대칭점
2층,A블록,6,6,2층 A블록6열 6,1675,2217,845,2층 E블록6열 14
2층,A블록,6,7,2층 A블록6열 7,1642,2252,845,2층 E블록6열 13
2층,A블록,6,8,2층 A블록6열 8,1608,2288,845,2층 E블록6열 12
2층,A블록,6,9,2층 A블록6열 9,1575,2323,845,2층 E블록6열 11
2층,A블록,6,10,2층 A블록6열 10,1541,2358,845,2층 E블록6열 10
2층,A블록,6,11,2층 A블록6열 11,1508,2394,845,2층 E블록6열 9
2층,A블록,6,12,2층 A블록6열 12,1474,2429,845,2층 E블록6열 8
2층,A블록,6,13,2층 A블록6열 13,1440,2465,845,2층 E블록6열 7
2층,A블록,6,14,2층 A블록6열 14,1407,2500,845,2층 E블록6열 6
2층,A블록,6,15,2층 A블록6열 15,1373,2535,845,2층 E블록6열 5
2층,A블록,6,16,2층 A블록6열 16,1340,2571,845,2층 E블록6열 4
2층,A블록,6,17,2층 A블록6열 17,1306,2606,845,2층 E블록6열 3
2층,A블록,6,18,2층 A블록6열 18,1273,2642,845,2층 E블록6열 2
2층,A블록,6,19,2층 A블록6열 19,1239,2677,845,2층 E블록6열 1
2층,B블록,6,8,2층 B블록6열 8,697,2797,845,2층 D블록6열 6
2층,B블록,6,9,2층 B블록6열 9,642,2802,845,2층 D블록6열 5
2층,B블록,6,1,2층 B블록6열 1,1083,2761,845,2층 D블록6열 13
2층,B블록,6,2,2층 B블록6열 2,1028,2766,845,2층 D블록6열 12
2층,B블록,6,3,2층 B블록6열 3,973,2771,845,2층 D블록6열 11
2층,B블록,6,4,2층 B블록6열 4,918,2776,845,2층 D블록6열 10
2층,B블록,6,5,2층 B블록6열 5,862,2782,845,2층 D블록6열 9
2층,B블록,6,6,2층 B블록6열 6,807,2787,845,2층 D블록6열 8
2층,B블록,6,7,2층 B블록6열 7,752,2792,845,2층 D블록6열 7
2층,D블록,4,8,2층 D블록4열 8,-813,2585,760,2층 B블록4열 4
2층,D블록,4,9,2층 D블록4열 9,-870,2580,760,2층 B블록4열 3
2층,B블록,6,10,2층 B블록6열 10,586,2805,845,2층 D블록6열 4
2층,B블록,6,11,2층 B블록6열 11,531,2809,845,2층 D블록6열 3
2층,B블록,6,12,2층 B블록6열 12,476,2812,845,2층 D블록6열 2
2층,B블록,6,13,2층 B블록6열 13,420,2815,845,2층 D블록6열 1
2층,C블록,6,1,2층 C블록6열 1,269,2820,845,2층 C블록6열 12
2층,C블록,6,2,2층 C블록6열 2,220,2821,845,2층 C블록6열 11
2층,C블록,6,3,2층 C블록6열 3,171,2822,845,2층 C블록6열 10
2층,C블록,6,4,2층 C블록6열 4,122,2823,845,2층 C블록6열 9
2층,C블록,6,5,2층 C블록6열 5,73,2824,845,2층 C블록6열 8
2층,C블록,6,6,2층 C블록6열 6,24,2825,845,2층 C블록6열 7
2층,C블록,6,7,2층 C블록6열 7,-24,2825,845,2층 C블록6열 6
2층,C블록,6,8,2층 C블록6열 8,-73,2824,845,2층 C블록6열 5
2층,C블록,6,9,2층 C블록6열 9,-122,2823,845,2층 C블록6열 4
2층,C블록,6,10,2층 C블록6열 10,-171,2822,845,2층 C블록6열 3
2층,C블록,6,11,2층 C블록6열 11,-220,2821,845,2층 C블록6열 2
2층,C블록,6,12,2층 C블록6열 12,-269,2820,845,2층 C블록6열 1
2층,D블록,6,1,2층 D블록6열 1,-420,2815,845,2층 B블록6열 13
2층,D블록,6,2,2층 D블록6열 2,-476,2812,845,2층 B블록6열 12
2층,D블록,6,3,2층 D블록6열 3,-531,2809,845,2층 B블록6열 11
2층,D블록,6,4,2층 D블록6열 4,-586,2805,845,2층 B블록6열 10
2층,D블록,6,5,2층 D블록6열 5,-642,2802,845,2층 B블록6열 9
2층,D블록,6,6,2층 D블록6열 6,-697,2797,845,2층 B블록6열 8
2층,D블록,6,7,2층 D블록6열 7,-752,2792,845,2층 B블록6열 7
2층,D블록,5,11,2층 D블록5열 11,-975,2671,802,2층 B블록5열 2
2층,D블록,5,12,2층 D블록5열 12,-1031,2665,802,2층 B블록5열 1
2층,D블록,6,10,2층 D블록6열 10,-918,2776,845,2층 B블록6열 4
2층,D블록,6,11,2층 D블록6열 11,-973,2771,845,2층 B블록6열 3
2층,D블록,6,12,2층 D블록6열 12,-1028,2766,845,2층 B블록6열 2
2층,D블록,6,13,2층 D블록6열 13,-1083,2761,845,2층 B블록6열 1
2층,E블록,6,1,2층 E블록6열 1,-1239,2677,845,2층 A블록6열 19
2층,E블록,6,2,2층 E블록6열 2,-1273,2642,845,2층 A블록6열 18
2층,E블록,6,3,2층 E블록6열 3,-1306,2606,845,2층 A블록6열 17
2층,E블록,6,4,2층 E블록6열 4,-1340,2571,845,2층 A블록6열 16
2층,E블록,6,5,2층 E블록6열 5,-1373,2535,845,2층 A블록6열 15
2층,E블록,6,6,2층 E블록6열 6,-1407,2500,845,2층 A블록6열 14
2층,E블록,6,7,2층 E블록6열 7,-1440,2465,845,2층 A블록6열 13
2층,E블록,6,8,2층 E블록6열 8,-1474,2429,845,2층 A블록6열 12
2층,E블록,6,9,2층 E블록6열 9,-1508,2394,845,2층 A블록6열 11
2층,E블록,6,10,2층 E블록6열 10,-1541,2358,845,2층 A블록6열 10
2층,E블록,6,11,2층 E블록6열 11,-1575,2323,845,2층 A블록6열 9
2층,E블록,6,12,2층 E블록6열 12,-1608,2288,845,2층 A블록6열 8
2층,E블록,6,13,2층 E블록6열 13,-1642,2252,845,2층 A블록6열 7
2층,E블록,6,14,2층 E블록6열 14,-1675,2217,845,2층 A블록6열 6
2층,E블록,6,15,2층 E블록6열 15,-1709,2181,845,2층 A블록6열 5
2층,E블록,6,16,2층 E블록6열 16,-1742,2146,845,2층 A블록6열 4
2층,E블록,6,17,2층 E블록6열 17,-1776,2111,845,2층 A블록6열 3
2층,E블록,6,18,2층 E블록6열 18,-1809,2075,845,2층 A블록6열 2
2층,E블록,6,19,2층 E블록6열 19,-1843,2040,845,2층 A블록6열 1
2층,A블록,7,1,2층 A블록7열 1,1803,2227,888,2층 E블록7열 16
2층,A블록,7,2,2층 A블록7열 2,1768,2264,888,2층 E블록7열 15
2층,A블록,7,3,2층 A블록7열 3,1734,2300,888,2층 E블록7열 14
2층,A블록,7,4,2층 A블록7열 4,1700,2336,888,2층 E블록7열 13
2층,A블록,7,5,2층 A블록7열 5,1665,2373,888,2층 E블록7열 12
2층,A블록,7,6,2층 A블록7열 6,1631,2409,888,2층 E블록7열 11
2층,A블록,7,7,2층 A블록7열 7,1596,2445,888,2층 E블록7열 10
2층,A블록,7,8,2층 A블록7열 8,1562,2482,888,2층 E블록7열 9
2층,A블록,7,9,2층 A블록7열 9,1528,2518,888,2층 E블록7열 8
2층,A블록,7,10,2층 A블록7열 10,1493,2554,888,2층 E블록7열 7
2층,A블록,7,11,2층 A블록7열 11,1459,2591,888,2층 E블록7열 6
2층,A블록,7,12,2층 A블록7열 12,1424,2627,888,2층 E블록7열 5
2층,A블록,7,13,2층 A블록7열 13,1390,2663,888,2층 E블록7열 4
2층,A블록,7,14,2층 A블록7열 14,1356,2699,888,2층 E블록7열 3
2층,A블록,7,15,2층 A블록7열 15,1321,2736,888,2층 E블록7열 2
2층,A블록,7,16,2층 A블록7열 16,1287,2772,888,2층 E블록7열 1
2층,B블록,7,1,2층 B블록7열 1,1130,2857,888,2층 D블록7열 14
2층,B블록,7,2,2층 B블록7열 2,1076,2862,888,2층 D블록7열 13
2층,B블록,7,3,2층 B블록7열 3,1021,2867,888,2층 D블록7열 12
2층,B블록,7,4,2층 B블록7열 4,967,2872,888,2층 D블록7열 11
2층,B블록,7,5,2층 B블록7열 5,913,2877,888,2층 D블록7열 10
2층,B블록,7,6,2층 B블록7열 6,859,2882,888,2층 D블록7열 9
2층,B블록,7,7,2층 B블록7열 7,804,2888,888,2층 D블록7열 8
2층,D블록,6,8,2층 D블록6열 8,-807,2787,845,2층 B블록6열 6
2층,D블록,6,9,2층 D블록6열 9,-862,2782,845,2층 B블록6열 5
2층,B블록,7,10,2층 B블록7열 10,642,2902,888,2층 D블록7열 5
2층,B블록,7,11,2층 B블록7열 11,587,2905,888,2층 D블록7열 4
2층,B블록,7,12,2층 B블록7열 12,533,2909,888,2층 D블록7열 3
2층,B블록,7,13,2층 B블록7열 13,478,2912,888,2층 D블록7열 2
2층,B블록,7,14,2층 B블록7열 14,424,2915,888,2층 D블록7열 1
2층,C블록,7,1,2층 C블록7열 1,272,2920,888,2층 C블록7열 13
2층,C블록,7,2,2층 C블록7열 2,227,2921,888,2층 C블록7열 12
2층,C블록,7,3,2층 C블록7열 3,181,2922,888,2층 C블록7열 11
2층,C블록,7,4,2층 C블록7열 4,136,2923,888,2층 C블록7열 10
2층,C블록,7,5,2층 C블록7열 5,91,2923,888,2층 C블록7열 9
2층,C블록,7,6,2층 C블록7열 6,45,2924,888,2층 C블록7열 8
2층,C블록,7,7,2층 C블록7열 7,0,2925,888,2층 C블록7열 7
2층,C블록,7,8,2층 C블록7열 8,-45,2924,888,2층 C블록7열 6
2층,C블록,7,9,2층 C블록7열 9,-91,2923,888,2층 C블록7열 5
2층,C블록,7,10,2층 C블록7열 10,-136,2923,888,2층 C블록7열 4
2층,C블록,7,11,2층 C블록7열 11,-181,2922,888,2층 C블록7열 3
2층,C블록,7,12,2층 C블록7열 12,-227,2921,888,2층 C블록7열 2
2층,C블록,7,13,2층 C블록7열 13,-272,2920,888,2층 C블록7열 1
2층,D블록,7,1,2층 D블록7열 1,-424,2915,888,2층 B블록7열 14
2층,D블록,7,2,2층 D블록7열 2,-478,2912,888,2층 B블록7열 13
2층,D블록,7,3,2층 D블록7열 3,-533,2909,888,2층 B블록7열 12
2층,D블록,7,4,2층 D블록7열 4,-587,2905,888,2층 B블록7열 11
2층,D블록,7,5,2층 D블록7열 5,-642,2902,888,2층 B블록7열 10
2층,D블록,7,6,2층 D블록7열 6,-696,2898,888,2층 B블록7열 9
2층,D블록,7,7,2층 D블록7열 7,-750,2893,888,2층 B블록7열 8
2층,D블록,7,8,2층 D블록7열 8,-804,2888,888,2층 B블록7열 7
2층,D블록,7,9,2층 D블록7열 9,-859,2882,888,2층 B블록7열 6
2층,D블록,7,10,2층 D블록7열 10,-913,2877,888,2층 B블록7열 5
2층,D블록,7,11,2층 D블록7열 11,-967,2872,888,2층 B블록7열 4
2층,D블록,7,12,2층 D블록7열 12,-1021,2867,888,2층 B블록7열 3
2층,D블록,7,13,2층 D블록7열 13,-1076,2862,888,2층 B블록7열 2
2층,D블록,7,14,2층 D블록7열 14,-1130,2857,888,2층 B블록7열 1
2층,E블록,7,1,2층 E블록7열 1,-1287,2772,888,2층 A블록7열 16
2층,E블록,7,2,2층 E블록7열 2,-1321,2736,888,2층 A블록7열 15
2층,E블록,7,3,2층 E블록7열 3,-1356,2699,888,2층 A블록7열 14
2층,E블록,7,4,2층 E블록7열 4,-1390,2663,888,2층 A블록7열 13
2층,E블록,7,5,2층 E블록7열 5,-1424,2627,888,2층 A블록7열 12
2층,E블록,7,6,2층 E블록7열 6,-1459,2591,888,2층 A블록7열 11
2층,E블록,7,7,2층 E블록7열 7,-1493,2554,888,2층 A블록7열 10
2층,E블록,7,8,2층 E블록7열 8,-1528,2518,888,2층 A블록7열 9
2층,E블록,7,9,2층 E블록7열 9,-1562,2482,888,2층 A블록7열 8
2층,E블록,7,10,2층 E블록7열 10,-1596,2445,888,2층 A블록7열 7
2층,E블록,7,11,2층 E블록7열 11,-1631,2409,888,2층 A블록7열 6
2층,E블록,7,12,2층 E블록7열 12,-1665,2373,888,2층 A블록7열 5
2층,E블록,7,13,2층 E블록7열 13,-1700,2336,888,2층 A블록7열 4
2층,E블록,7,14,2층 E블록7열 14,-1734,2300,888,2층 A블록7열 3
2층,E블록,7,15,2층 E블록7열 15,-1768,2264,888,2층 A블록7열 2
2층,E블록,7,16,2층 E블록7열 16,-1803,2227,888,2층 A블록7열 1
2층,A블록,8,1,2층 A블록8열 1,1812,2374,923,2층 E블록8열 8
2층,A블록,8,2,2층 A블록8열 2,1750,2440,923,2층 E블록8열 7
2층,A블록,8,3,2층 A블록8열 3,1689,2505,923,2층 E블록8열 6
2층,A블록,8,4,2층 A블록8열 4,1627,2570,923,2층 E블록8열 5
2층,A블록,8,5,2층 A블록8열 5,1565,2636,923,2층 E블록8열 4
2층,A블록,8,6,2층 A블록8열 6,1503,2701,923,2층 E블록8열 3
2층,A블록,8,7,2층 A블록8열 7,1441,2766,923,2층 E블록8열 2
2층,A블록,8,8,2층 A블록8열 8,1379,2832,923,2층 E블록8열 1
2층,B블록,8,1,2층 B블록8열 1,1178,2953,923,2층 D블록8열 4
2층,B블록,8,2,2층 B블록8열 2,1125,2958,923,2층 D블록8열 3
2층,B블록,8,3,2층 B블록8열 3,1071,2963,923,2층 D블록8열 2
2층,B블록,8,4,2층 B블록8열 4,1018,2968,923,2층 D블록8열 1
2층,D블록,8,1,2층 D블록8열 1,-1018,2968,923,2층 B블록8열 4
2층,D블록,8,2,2층 D블록8열 2,-1071,2963,923,2층 B블록8열 3
2층,D블록,8,3,2층 D블록8열 3,-1125,2958,923,2층 B블록8열 2
2층,D블록,8,4,2층 D블록8열 4,-1178,2953,923,2층 B블록8열 1
2층,E블록,8,1,2층 E블록8열 1,-1379,2832,923,2층 A블록8열 8
2층,E블록,8,2,2층 E블록8열 2,-1441,2766,923,2층 A블록8열 7
2층,E블록,8,3,2층 E블록8열 3,-1503,2701,923,2층 A블록8열 6
2층,E블록,8,4,2층 E블록8열 4,-1565,2636,923,2층 A블록8열 5
2층,E블록,8,5,2층 E블록8열 5,-1627,2570,923,2층 A블록8열 4
2층,E블록,8,6,2층 E블록8열 6,-1689,2505,923,2층 A블록8열 3
2층,E블록,8,7,2층 E블록8열 7,-1750,2440,923,2층 A블록8열 2
2층,E블록,8,8,2층 E블록8열 8,-1812,2374,923,2층 A블록8열 1
3층,BOX10,없음,1,3층 BOX10 1,-1553,1330,1033,3층 BOX9 3
3층,BOX10,없음,2,3층 BOX10 2,-1583,1296,1033,3층 BOX9 2
3층,BOX10,없음,3,3층 BOX10 3,-1613,1261,1033,3층 BOX9 1
3층,BOX10,없음,4,3층 BOX10 4,-1681,1320,1083,3층 BOX9 6
3층,BOX10,없음,5,3층 BOX10 5,-1651,1355,1083,3층 BOX9 5
3층,BOX10,없음,6,3층 BOX10 6,-1621,1390,1083,3층 BOX9 4
3층,BOX10,없음,7,3층 BOX10 7,-1688,1449,1133,3층 BOX9 9
3층,BOX10,없음,8,3층 BOX10 8,-1719,1414,1133,3층 BOX9 8
3층,BOX10,없음,9,3층 BOX10 9,-1749,1380,1133,3층 BOX9 7
3층,BOX10,없음,10,3층 BOX10 10,-1817,1439,1183,3층 BOX9 12
3층,BOX10,없음,11,3층 BOX10 11,-1786,1473,1183,3층 BOX9 11
3층,BOX10,없음,12,3층 BOX10 12,-1756,1508,1183,3층 BOX9 10
3층,BOX11,없음,1,3층 BOX11 1,-1497,975,1000,3층 BOX8 3
3층,BOX11,없음,2,3층 BOX11 2,-1527,940,1000,3층 BOX8 2
3층,BOX11,없음,3,3층 BOX11 3,-1558,905,1000,3층 BOX8 1
3층,BOX11,없음,4,3층 BOX11 4,-1625,965,1050,3층 BOX8 6
3층,BOX11,없음,5,3층 BOX11 5,-1595,999,1050,3층 BOX8 5
3층,BOX11,없음,6,3층 BOX11 6,-1565,1034,1050,3층 BOX8 4
3층,BOX11,없음,7,3층 BOX11 7,-1633,1093,1100,3층 BOX8 9
3층,BOX11,없음,8,3층 BOX11 8,-1663,1059,1100,3층 BOX8 8
3층,BOX11,없음,9,3층 BOX11 9,-1693,1024,1100,3층 BOX8 7
3층,BOX12,없음,1,3층 BOX12 1,-1436,612,866,3층 BOX7 3
3층,BOX12,없음,2,3층 BOX12 2,-1466,577,866,3층 BOX7 2
3층,BOX12,없음,3,3층 BOX12 3,-1496,543,866,3층 BOX7 1
3층,BOX12,없음,4,3층 BOX12 4,-1564,602,916,3층 BOX7 6
3층,BOX12,없음,5,3층 BOX12 5,-1534,637,916,3층 BOX7 5
3층,BOX12,없음,6,3층 BOX12 6,-1503,671,916,3층 BOX7 4
3층,BOX7,없음,1,3층 BOX7 1,1496,543,866,3층 BOX12 3
3층,BOX7,없음,2,3층 BOX7 2,1466,577,866,3층 BOX12 2
3층,BOX7,없음,3,3층 BOX7 3,1436,612,866,3층 BOX12 1
3층,BOX7,없음,4,3층 BOX7 4,1503,671,916,3층 BOX12 6
3층,BOX7,없음,5,3층 BOX7 5,1534,637,916,3층 BOX12 5
3층,BOX7,없음,6,3층 BOX7 6,1564,602,916,3층 BOX12 4
3층,BOX8,없음,1,3층 BOX8 1,1558,905,1000,3층 BOX11 3
3층,BOX8,없음,2,3층 BOX8 2,1527,940,1000,3층 BOX11 2
3층,BOX8,없음,3,3층 BOX8 3,1497,975,1000,3층 BOX11 1
3층,BOX8,없음,4,3층 BOX8 4,1565,1034,1050,3층 BOX11 6
3층,BOX8,없음,5,3층 BOX8 5,1595,999,1050,3층 BOX11 5
3층,BOX8,없음,6,3층 BOX8 6,1625,965,1050,3층 BOX11 4
3층,BOX8,없음,7,3층 BOX8 7,1693,1024,1100,3층 BOX11 9
3층,BOX8,없음,8,3층 BOX8 8,1663,1059,1100,3층 BOX11 8
3층,BOX8,없음,9,3층 BOX8 9,1633,1093,1100,3층 BOX11 7
3층,BOX9,없음,1,3층 BOX9 1,1613,1261,1033,3층 BOX10 3
3층,BOX9,없음,2,3층 BOX9 2,1583,1296,1033,3층 BOX10 2
3층,BOX9,없음,3,3층 BOX9 3,1553,1330,1033,3층 BOX10 1
3층,BOX9,없음,4,3층 BOX9 4,1621,1390,1083,3층 BOX10 6
3층,BOX9,없음,5,3층 BOX9 5,1651,1355,1083,3층 BOX10 5
3층,BOX9,없음,6,3층 BOX9 6,1681,1320,1083,3층 BOX10 4
3층,BOX9,없음,7,3층 BOX9 7,1749,1380,1133,3층 BOX10 9
3층,BOX9,없음,8,3층 BOX9 8,1719,1414,1133,3층 BOX10 8
3층,BOX9,없음,9,3층 BOX9 9,1688,1449,1133,3층 BOX10 7
3층,BOX9,없음,10,3층 BOX9 10,1756,1508,1183,3층 BOX10 12
3층,BOX9,없음,11,3층 BOX9 11,1786,1473,1183,3층 BOX10 11
3층,BOX9,없음,12,3층 BOX9 12,1817,1439,1183,3층 BOX10 10
2층,BOX1,없음,1,2층 BOX1 1,1432,505,383,2층 BOX6 2
2층,BOX1,없음,2,2층 BOX1 2,1386,558,383,2층 BOX6 1
2층,BOX1,없음,3,2층 BOX1 3,1454,617,428,2층 BOX6 4
2층,BOX1,없음,4,2층 BOX1 4,1500,565,428,2층 BOX6 3
2층,BOX1,없음,5,2층 BOX1 5,1568,624,483,2층 BOX6 6
2층,BOX1,없음,6,2층 BOX1 6,1522,677,483,2층 BOX6 5
2층,BOX2,없음,1,2층 BOX2 1,1494,866,466,2층 BOX5 2
2층,BOX2,없음,2,2층 BOX2 2,1448,918,466,2층 BOX5 1
2층,BOX2,없음,3,2층 BOX2 3,1515,978,511,2층 BOX5 4
2층,BOX2,없음,4,2층 BOX2 4,1562,925,511,2층 BOX5 3
3층,A블록,1,1,3층 A블록1열 1,1649,1634,1116,3층 G블록1열 5
3층,A블록,1,2,3층 A블록1열 2,1607,1679,1116,3층 G블록1열 4
3층,A블록,1,3,3층 A블록1열 3,1564,1724,1116,3층 G블록1열 3
3층,A블록,1,4,3층 A블록1열 4,1521,1768,1116,3층 G블록1열 2
3층,A블록,1,5,3층 A블록1열 5,1478,1813,1116,3층 G블록1열 1
3층,G블록,1,1,3층 G블록1열 1,-1478,1813,1116,3층 A블록1열 5
3층,G블록,1,2,3층 G블록1열 2,-1521,1768,1116,3층 A블록1열 4
3층,G블록,1,3,3층 G블록1열 3,-1564,1724,1116,3층 A블록1열 3
3층,G블록,1,4,3층 G블록1열 4,-1607,1679,1116,3층 A블록1열 2
3층,G블록,1,5,3층 G블록1열 5,-1649,1634,1116,3층 A블록1열 1
3층,M블록,1,1,3층 M블록1열 1,1018,3329,1583,3층 N블록1열 15
3층,M블록,1,2,3층 M블록1열 2,968,3336,1583,3층 N블록1열 14
3층,M블록,1,3,3층 M블록1열 3,918,3340,1583,3층 N블록1열 13
3층,M블록,1,4,3층 M블록1열 4,869,3345,1583,3층 N블록1열 12
3층,M블록,1,5,3층 M블록1열 5,819,3349,1583,3층 N블록1열 11
3층,M블록,1,6,3층 M블록1열 6,769,3354,1583,3층 N블록1열 10
3층,M블록,1,7,3층 M블록1열 7,719,3361,1583,3층 N블록1열 9
3층,M블록,1,8,3층 M블록1열 8,669,3363,1583,3층 N블록1열 8
3층,M블록,1,9,3층 M블록1열 9,620,3366,1583,3층 N블록1열 7
3층,M블록,1,10,3층 M블록1열 10,570,3368,1583,3층 N블록1열 6
3층,M블록,1,11,3층 M블록1열 11,520,3371,1583,3층 N블록1열 5
3층,M블록,1,12,3층 M블록1열 12,470,3374,1583,3층 N블록1열 4
3층,M블록,1,13,3층 M블록1열 13,420,3376,1583,3층 N블록1열 3
3층,M블록,1,14,3층 M블록1열 14,370,3378,1583,3층 N블록1열 2
3층,M블록,1,15,3층 M블록1열 15,320,3380,1583,3층 N블록1열 1
3층,M블록,2,1,3층 M블록2열 1,1027,3429,1643,3층 N블록2열 15
3층,M블록,2,2,3층 M블록2열 2,977,3435,1643,3층 N블록2열 14
3층,M블록,2,3,3층 M블록2열 3,936,3440,1643,3층 N블록2열 13
3층,M블록,2,4,3층 M블록2열 4,878,3444,1643,3층 N블록2열 12
3층,M블록,2,5,3층 M블록2열 5,828,3449,1643,3층 N블록2열 11
3층,M블록,2,6,3층 M블록2열 6,778,3454,1643,3층 N블록2열 10
3층,M블록,2,7,3층 M블록2열 7,729,3460,1643,3층 N블록2열 9
3층,M블록,2,8,3층 M블록2열 8,679,3463,1643,3층 N블록2열 8
3층,M블록,2,9,3층 M블록2열 9,629,3465,1643,3층 N블록2열 7
3층,M블록,2,10,3층 M블록2열 10,579,3468,1643,3층 N블록2열 6
3층,M블록,2,11,3층 M블록2열 11,529,3470,1643,3층 N블록2열 5
3층,M블록,2,12,3층 M블록2열 12,479,3473,1643,3층 N블록2열 4
3층,M블록,2,13,3층 M블록2열 13,429,3476,1643,3층 N블록2열 3
3층,M블록,2,14,3층 M블록2열 14,379,3478,1643,3층 N블록2열 2
3층,M블록,2,15,3층 M블록2열 15,329,3479,1643,3층 N블록2열 1
3층,A블록,2,1,3층 A블록2열 1,1722,1703,1167,3층 G블록2열 5
3층,A블록,2,2,3층 A블록2열 2,1679,1748,1167,3층 G블록2열 4
3층,A블록,2,3,3층 A블록2열 3,1636,1792,1167,3층 G블록2열 3
3층,A블록,2,4,3층 A블록2열 4,1594,1837,1167,3층 G블록2열 2
3층,A블록,2,5,3층 A블록2열 5,1551,1882,1167,3층 G블록2열 1
3층,G블록,2,1,3층 G블록2열 1,-1551,1882,1167,3층 A블록2열 5
3층,G블록,2,2,3층 G블록2열 2,-1594,1837,1167,3층 A블록2열 4
3층,G블록,2,3,3층 G블록2열 3,-1636,1792,1167,3층 A블록2열 3
3층,G블록,2,4,3층 G블록2열 4,-1679,1748,1167,3층 A블록2열 2
3층,G블록,2,5,3층 G블록2열 5,-1722,1703,1167,3층 A블록2열 1
3층,N블록,1,1,3층 N블록1열 1,-320,3380,1583,3층 M블록1열 15
3층,N블록,1,2,3층 N블록1열 2,-370,3378,1583,3층 M블록1열 14
3층,N블록,1,3,3층 N블록1열 3,-420,3376,1583,3층 M블록1열 13
3층,N블록,1,4,3층 N블록1열 4,-470,3374,1583,3층 M블록1열 12
3층,N블록,1,5,3층 N블록1열 5,-520,3371,1583,3층 M블록1열 11
3층,N블록,1,6,3층 N블록1열 6,-570,3368,1583,3층 M블록1열 10
3층,N블록,1,7,3층 N블록1열 7,-620,3366,1583,3층 M블록1열 9
3층,N블록,1,8,3층 N블록1열 8,-669,3363,1583,3층 M블록1열 8
3층,N블록,1,9,3층 N블록1열 9,-719,3361,1583,3층 M블록1열 7
3층,N블록,1,10,3층 N블록1열 10,-769,3354,1583,3층 M블록1열 6
3층,N블록,1,11,3층 N블록1열 11,-819,3349,1583,3층 M블록1열 5
3층,N블록,1,12,3층 N블록1열 12,-869,3345,1583,3층 M블록1열 4
3층,N블록,1,13,3층 N블록1열 13,-918,3340,1583,3층 M블록1열 3
3층,N블록,1,14,3층 N블록1열 14,-968,3336,1583,3층 M블록1열 2
3층,N블록,1,15,3층 N블록1열 15,-1018,3329,1583,3층 M블록1열 1
3층,N블록,2,1,3층 N블록2열 1,-329,3479,1643,3층 M블록2열 15
3층,N블록,2,2,3층 N블록2열 2,-379,3478,1643,3층 M블록2열 14
3층,N블록,2,3,3층 N블록2열 3,-429,3476,1643,3층 M블록2열 13
3층,N블록,2,4,3층 N블록2열 4,-479,3473,1643,3층 M블록2열 12
3층,N블록,2,5,3층 N블록2열 5,-529,3470,1643,3층 M블록2열 11
3층,N블록,2,6,3층 N블록2열 6,-579,3468,1643,3층 M블록2열 10
3층,N블록,2,7,3층 N블록2열 7,-629,3465,1643,3층 M블록2열 9
3층,N블록,2,8,3층 N블록2열 8,-679,3463,1643,3층 M블록2열 8
3층,N블록,2,9,3층 N블록2열 9,-729,3460,1643,3층 M블록2열 7
3층,N블록,2,10,3층 N블록2열 10,-778,3454,1643,3층 M블록2열 6
3층,N블록,2,11,3층 N블록2열 11,-828,3449,1643,3층 M블록2열 5
3층,N블록,2,12,3층 N블록2열 12,-878,3444,1643,3층 M블록2열 4
3층,N블록,2,13,3층 N블록2열 13,-936,3440,1643,3층 M블록2열 3
3층,N블록,2,14,3층 N블록2열 14,-977,3435,1643,3층 M블록2열 2
3층,N블록,2,15,3층 N블록2열 15,-1027,3429,1643,3층 M블록2열 1
3층,A블록,3,1,3층 A블록3열 1,1807,1758,1216,3층 G블록3열 6
3층,A블록,3,2,3층 A블록3열 2,1766,1801,1216,3층 G블록3열 5
3층,A블록,3,3,3층 A블록3열 3,1726,1843,1216,3층 G블록3열 4
3층,A블록,3,4,3층 A블록3열 4,1686,1886,1216,3층 G블록3열 3
3층,A블록,3,5,3층 A블록3열 5,1645,1928,1216,3층 G블록3열 2
3층,A블록,3,6,3층 A블록3열 6,1605,1970,1216,3층 G블록3열 1
3층,G블록,3,1,3층 G블록3열 1,-1605,1970,1216,3층 A블록3열 6
3층,G블록,3,2,3층 G블록3열 2,-1645,1928,1216,3층 A블록3열 5
3층,G블록,3,3,3층 G블록3열 3,-1686,1886,1216,3층 A블록3열 4
3층,G블록,3,4,3층 G블록3열 4,-1726,1843,1216,3층 A블록3열 3
3층,G블록,3,5,3층 G블록3열 5,-1766,1801,1216,3층 A블록3열 2
3층,G블록,3,6,3층 G블록3열 6,-1807,1758,1216,3층 A블록3열 1
3층,A블록,4,1,3층 A블록4열 1,1819,1894,1268,3층 G블록4열 14
3층,A블록,4,2,3층 A블록4열 2,1785,1930,1268,3층 G블록4열 13
3층,A블록,4,3,3층 A블록4열 3,1750,1967,1268,3층 G블록4열 12
3층,A블록,4,4,3층 A블록4열 4,1716,2003,1268,3층 G블록4열 11
3층,A블록,4,5,3층 A블록4열 5,1681,2039,1268,3층 G블록4열 10
3층,A블록,4,6,3층 A블록4열 6,1647,2075,1268,3층 G블록4열 9
3층,A블록,4,7,3층 A블록4열 7,1613,2112,1268,3층 G블록4열 8
3층,A블록,4,8,3층 A블록4열 8,1578,2148,1268,3층 G블록4열 7
3층,A블록,4,9,3층 A블록4열 9,1544,2184,1268,3층 G블록4열 6
3층,A블록,4,10,3층 A블록4열 10,1509,2220,1268,3층 G블록4열 5
3층,A블록,4,11,3층 A블록4열 11,1475,2257,1268,3층 G블록4열 4
