층,블록,열,넘버,전체_좌석,X,Y,Z,대칭점,무대까지의 거리,좌우면적시야각,상하면적시야각
1층,A블록,2,7,1층 A블록2열 7,1200,705,-76,1층 E블록2열 3,1393.8439654423303,30.982195998950385,33.53621532509814
1층,A블록,2,8,1층 A블록2열 8,1153,716,-76,1층 E블록2열 2,1359.3531549968905,33.97219006171074,33.6794799194432
1층,A블록,2,9,1층 A블록2열 9,1107,725,-76,1층 E블록2열 1,1325.4621835420278,37.08416920333321,33.817093969784466
1층,B블록,2,1,1층 B블록2열 1,952,756,-76,1층 D블록2열 10,1218.0377662453657,49.194703578875355,33.822205150783425
1층,B블록,2,2,1층 B블록2열 2,900,764,-76,1층 D블록2열 9,1182.9928148556103,53.66283621271867,33.71368187209411
1층,B블록,2,3,1층 B블록2열 3,848,773,-76,1층 D블록2열 8,1149.9604341019738,58.24596950875117,33.454478254699886
1층,B블록,2,4,1층 B블록2열 4,796,782,-76,1층 D블록2열 7,1118.4435613834075,62.837957422656366,33.060189879009
1층,B블록,2,5,1층 B블록2열 5,744,789,-76,1층 D블록2열 6,1087.1214283602362,67.39603106678143,32.59352037275796
1층,B블록,2,6,1층 B블록2열 6,692,796,-76,1층 D블록2열 5,1057.4762408678505,71.80111779556437,31.95921826476641
1층,B블록,2,7,1층 B블록2열 7,640,804,-76,1층 D블록2열 4,1030.4329187288224,75.91261567514772,31.090348128681644
1층,B블록,2,8,1층 B블록2열 8,587,811,-76,1층 D블록2열 3,1004.0249000896342,79.82708391981123,30.034790510152426
1층,B블록,2,9,1층 B블록2열 9,535,815,-76,1층 D블록2열 2,977.8680892635775,83.48680989481986,28.89407806092276
1층,B블록,2,10,1층 B블록2열 10,482,820,-76,1층 D블록2열 1,954.2012366372201,86.77468919241224,27.424509686906287
1층,C블록,2,1,1층 C블록2열 1,324,832,-76,1층 C블록2열 12,896.0892812661024,94.34134424074708,21.395804031584916
1층,C블록,2,2,1층 C블록2열 2,265,835,-76,1층 C블록2열 11,879.3327015413449,96.36025757028352,18.49731695260118
1층,C블록,2,3,1층 C블록2열 3,206,839,-76,1층 C블록2열 10,867.2560175634413,97.80486877128888,15.222371011482652
1층,C블록,2,4,1층 C블록2열 4,147,840,-76,1층 C블록2열 9,856.145431571062,99.04923717489598,11.827700584956496
1층,C블록,2,5,1층 C블록2열 5,88,841,-76,1층 C블록2열 8,849.0,99.83991077199643,8.481368054584193
