공연시간,금액명시비율,예약율,knn_n_neighbors,knn_mse,kmeans_군집수,kmeans_실루엣,평균가격,최소가격,최대가격,등급별가격비율,등급별가격,등급별좌석수,등급별예매율,등급별가격_1,등급별가격_2,등급별가격_3,등급별가격_4,등급별가격_5
2019-06-12 20:00:00,0.026,0.981,1,71428571.42857143,3,1.0,65928.14,0,100000,"[0.0, 1.0, 2.0]","[0, 50000, 100000]","[440, 827, 1238]","[0.9977, 0.9649, 0.9855]",0.0,1.0,2.0,,
2019-06-21 20:00:00,0.126,0.138,10,177802410.96562257,4,0.7266510552089953,59463.07,0,100000,"[0.0, 1.0, 1.76, 2.34]","[0, 42201, 74429, 98725]","[404, 718, 736, 647]","[0.0396, 0.188, 0.0897, 0.1994]",0.0,1.0,1.76,2.34,
2019-07-02 20:00:00,0.579,0.785,4,262850802.33949623,5,0.9102465527715861,173552.89,0,250000,"[1.0, 2.23, 3.35, 4.47, 5.55]","[44921, 100000, 150491, 200601, 249169]","[382, 262, 438, 599, 824]","[0.7487, 0.7519, 0.8356, 0.7446, 0.8155]",1.0,2.23,3.35,4.47,5.55
2019-07-04 20:00:00,0.399,0.401,12,172521380.5690348,5,0.8099994873119969,89768.46,0,150000,"[0.0, 1.0, 1.65, 2.26, 2.88]","[0, 51486, 84954, 116564, 148365]","[192, 572, 764, 454, 523]","[0.2708, 0.4318, 0.3429, 0.2048, 0.6692]",0.0,1.0,1.65,2.26,2.88
2019-07-09 20:00:00,0.134,0.583,16,234681070.15251297,4,0.7641407182634599,56041.92,0,120000,"[1.0, 32.04, 77.86, 142.06]","[796, 25516, 62014, 113143]","[452, 708, 591, 754]","[0.2721, 0.6469, 0.5584, 0.7294]",1.0,32.04,77.86,142.06,
2019-07-13 17:00:00,0.718,0.725,10,308657570.221524,4,0.8292809207608305,126223.55,0,200000,"[0.0, 1.0, 1.92, 2.73]","[0, 72545, 139104, 198140]","[100, 996, 597, 812]","[0.47, 0.8775, 0.6214, 0.6453]",0.0,1.0,1.92,2.73,
2019-07-19 20:00:00,0.062,0.669,1,1085125000.0,4,0.7718144715148679,59624.75,0,150000,"[1.0, 13.23, 27.63, 46.34]","[3237, 42836, 89459, 150000]","[590, 991, 555, 369]","[0.3373, 0.6488, 0.8793, 0.935]",1.0,13.23,27.63,46.34,
2019-07-21 17:00:00,0.17,0.496,2,10532285.97389016,3,0.9196658760372056,48856.29,0,75000,"[0.0, 1.0, 1.42]","[0, 52693, 74897]","[490, 1285, 730]","[0.1633, 0.6661, 0.4192]",0.0,1.0,1.42,,
2019-07-28 17:00:00,0.055,0.488,6,8537000.184282526,4,0.8117032853644731,47109.78,0,65000,"[0.0, 1.0, 1.23, 1.39]","[0, 46619, 57286, 65000]","[431, 556, 853, 665]","[0.232, 0.6007, 0.6049, 0.4105]",0.0,1.0,1.23,1.39,
2019-08-03 16:30:00,0.073,0.099,1,25160818.71345029,4,0.987256205228711,38570.86,0,60000,"[1.0, 32.41, 40.51, 48.61]","[1234, 40000, 50000, 60000]","[640, 468, 671, 726]","[0.0234, 0.0513, 0.0864, 0.208]",1.0,32.41,40.51,48.61,
