공연시간,금액명시비율,예약율,knn_n_neighbors,knn_mse,kmeans_군집수,kmeans_실루엣,평균가격,최소가격,최대가격,등급별가격비율,등급별가격,등급별좌석수,등급별예매율,등급별가격_1,등급별가격_2,등급별가격_3,등급별가격_4,등급별가격_5
2019-07-28 17:00:00,0.055,0.488,6,8.537000184282535,4,0.8017083996709303,50862.28,0,65000,"[0.0, 1.0, 1.23, 1.39]","[0, 46620, 57257, 65000]","[274, 577, 904, 750]","[0.0, 0.5806, 0.5951, 0.4667]",0.0,1.0,1.23,1.39,
2019-08-03 16:30:00,0.073,0.099,1,25.160818713450293,5,1.0,42796.41,0,60000,"[0.0, 1.0, 8.0, 10.0, 12.0]","[0, 5000, 40000, 50000, 60000]","[274, 171, 508, 709, 843]","[0.0, 0.0117, 0.0531, 0.0846, 0.1886]",0.0,1.0,8.0,10.0,12.0
2019-08-25 17:00:00,0.463,0.475,5,147.39653113709716,4,0.9212065593396409,85506.99,40000,120000,"[1.0, 1.53, 2.25, 2.98]","[40020, 61388, 89935, 119380]","[491, 479, 615, 920]","[0.5316, 0.5303, 0.5171, 0.387]",1.0,1.53,2.25,2.98,
2019-08-30 20:00:00,0.007,0.842,4,55.26209507439646,3,0.8078845881334754,28656.69,0,50000,"[0.0, 1.0, 1.96]","[0, 23839, 46802]","[274, 1421, 810]","[0.0, 0.9521, 0.9333]",0.0,1.0,1.96,,
2019-08-31 17:00:00,0.099,0.158,1,1.4641258400901982e-30,3,1.0,31536.93,0,40000,"[0.0, 1.0, 1.33]","[0, 30000, 40000]","[274, 1024, 1207]","[0.0, 0.1328, 0.2162]",0.0,1.0,1.33,,
2019-09-08 17:00:00,0.005,0.795,10,188.67430552077445,5,0.951561804824873,46698.6,0,65000,"[1.0, 33.36, 38.06, 41.86, 46.43]","[1314, 43833, 50000, 55000, 61005]","[274, 210, 1005, 802, 214]","[0.0036, 0.7476, 0.9045, 0.9339, 0.8224]",1.0,33.36,38.06,41.86,46.43
2019-09-25 20:00:00,0.187,0.193,5,134.25217609626466,4,0.8510877552090008,85768.46,0,120000,"[0.0, 1.0, 1.68, 2.24]","[0, 53117, 89461, 119115]","[130, 677, 788, 910]","[0.0, 0.3013, 0.2157, 0.1209]",0.0,1.0,1.68,2.24,
2019-10-01 20:00:00,0.121,0.121,25,209.4852649106543,4,0.6981153289309973,51506.99,0,90000,"[0.0, 1.0, 1.45, 2.36]","[0, 35563, 51730, 83762]","[274, 622, 870, 739]","[0.0, 0.1222, 0.108, 0.1813]",0.0,1.0,1.45,2.36,
2019-10-06 17:00:00,0.493,0.493,9,992.4147375347457,4,0.9194052975257156,173900.2,70000,280000,"[1.0, 1.72, 2.64, 3.94]","[70000, 120459, 184461, 276114]","[501, 610, 631, 763]","[0.8283, 0.7541, 0.2995, 0.2254]",1.0,1.72,2.64,3.94,
2019-10-10 19:30:00,0.049,0.97,1,120.7051282051282,4,0.8680625019982916,60794.41,0,100000,"[0.0, 1.0, 1.63, 2.32]","[0, 43074, 70000, 100000]","[274, 875, 700, 656]","[1.0, 0.9371, 0.9871, 0.9832]",0.0,1.0,1.63,2.32,
